ID_UNIDADE_GESTORA,CODIGOTCE,ESFERA,CODIGOMUNICIPIO,MUNICIPIO,ORGAO,SIGLA,SITUACAO,CNPJ,PODER,UNIFED,TipoPessoaJuridicaPublica,NATUREZA
1136,051004,Municipal,P051,Cumaru,Fundo Municipal de Saúde de Cumaru,,Ativa,11319452000157,Poder Executivo,PE,Vinculada,Fundo Público
214,051001,Municipal,P051,Cumaru,Prefeitura Municipal de Cumaru,PMC,Ativa,11097391000120,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
215,051002,Municipal,P051,Cumaru,Câmara Municipal de Cumaru,CMC,Ativa,08985418000107,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
216,051003,Municipal,P051,Cumaru,Instituto de Previdência dos Servidores Municipais de Cumaru,CUMARU PREV,Ativa,11097391000120,Poder Executivo,PE,Não Vinculada,Autarquia
217,052001,Municipal,P052,Cupira,Prefeitura Municipal de Cupira,PMC,Ativa,10191799000102,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
218,052002,Municipal,P052,Cupira,Câmara Municipal de Cupira,CMV,Ativa,08653503000178,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
219,052003,Municipal,P052,Cupira,Fundo Municipal de Saúde de Cupira,FMS,Ativa,11472475000105,Poder Executivo,PE,Vinculada,Fundo Público
1351,052004,Municipal,P052,Cupira,Fundo Municipal de Assistência Social de Cupira,FMAS,Ativa,13048025000107,Poder Executivo,PE,Vinculada,Fundo Público
1231,053005,Municipal,P053,Custódia,Fundo Municipal de Assistência Social Custódia,,Ativa,12135199000144,Poder Executivo,PE,Vinculada,Fundo Público
220,053001,Municipal,P053,Custódia,Prefeitura Municipal de Custódia,PMC,Ativa,11358165000156,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
221,053002,Municipal,P053,Custódia,Câmara Municipal de Vereadores de Custódia,CMC,Ativa,12660932000140,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
222,053003,Municipal,P053,Custódia,Instituto de Previdência Muncipal de Custódia,CUSTOPREV,Ativa,05974874000163,Poder Executivo,PE,Não Vinculada,Autarquia
223,053004,Municipal,P053,Custódia,Fundo Municipal de Saúde de Custódia,FMSC,Ativa,10298546000124,Poder Executivo,PE,Vinculada,Fundo Público
224,054001,Municipal,P054,Escada,Prefeitura Municipal de Escada,PME,Ativa,11294303000180,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
225,054002,Municipal,P054,Escada,Câmara Municipal de Escada,CME,Ativa,11190832000134,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
226,054003,Municipal,P054,Escada,Instituto de Previdência Social do Município de Escada,ESCADAPREVI,Ativa,06152328000100,Poder Executivo,PE,Não Vinculada,Autarquia
1472,054005,Municipal,P054,Escada,Fundo Municipal de Assistência Social da Escada-pe,FMASE,Ativa,12102545000198,Poder Executivo,PE,Vinculada,Fundo Público
1160,054004,Municipal,P054,Escada,Fundo Municipal de Saúde de Escada,FMS,Ativa,10291311000100,Poder Executivo,PE,Vinculada,Fundo Público
1076,055004,Municipal,P055,Exu,Fundo Municipal de Saúde de Exu,FMS,Ativa,09218925000188,Poder Executivo,PE,Vinculada,Fundo Público
227,055001,Municipal,P055,Exu,Prefeitura Municipal de Exu,PME,Ativa,11040870000100,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
228,055002,Municipal,P055,Exu,Câmara Municipal de Exu,CME,Ativa,11474947000150,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
229,055003,Municipal,P055,Exu,Fundo Municipal de Previdência de Exu,EXUPREV,Ativa,05521084000122,Poder Executivo,PE,Vinculada,Fundo Público
1542,055005,Municipal,P055,Exu,Fundo Municipal de Assistência Social de Exu,FMAS,Ativa,18287240000184,Poder Executivo,PE,Vinculada,Fundo Público
230,056001,Municipal,P056,Feira Nova,Prefeitura Municipal de Feira Nova,PMFN,Ativa,11097243000106,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
231,056002,Municipal,P056,Feira Nova,Câmara Municipal de Feira Nova,,Ativa,08783052000193,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
1360,056004,Municipal,P056,Feira Nova,Fundo Municipal de Assistência Social de Feira Nova - PE,FMASFN,Ativa,12146188000160,Poder Executivo,PE,Vinculada,Fundo Público
1362,056005,Municipal,P056,Feira Nova,Instituto de Previdência de Feira Nova,FEIRAPREV,Ativa,14929918000124,Poder Executivo,PE,Não Vinculada,Autarquia
1290,056003,Municipal,P056,Feira Nova,Fundo Municipal de Saúde de Feira Nova,FMS,Ativa,11472134000121,Poder Executivo,PE,Vinculada,Fundo Público
1298,057005,Municipal,P057,Ferreiros,Fundo Municipal de Ação Social de Ferrreiros,FMAS,Ativa,08626506000112,Poder Executivo,PE,Vinculada,Fundo Público
1090,057004,Municipal,P057,Ferreiros,Fundo Municipal de Saúde de Ferreiros,FMS,Ativa,09102679000102,Poder Executivo,PE,Vinculada,Fundo Público
232,057001,Municipal,P057,Ferreiros,Prefeitura Municipal de Ferreiros,PMF,Ativa,11361870000102,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
233,057002,Municipal,P057,Ferreiros,Câmara Municipal de Ferreiros,CMF,Ativa,08825713000104,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
234,057003,Municipal,P057,Ferreiros,Fundo Municipal de Aposentadoria e Pensões de Ferreiros,FUMAP,Ativa,05330706000135,Poder Executivo,PE,Vinculada,Fundo Público
235,058001,Municipal,P058,Flores,Prefeitura Municipal de Flores,PMF,Ativa,10347466000111,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
236,058002,Municipal,P058,Flores,Câmara Municipal de Flores,,Ativa,08868416000138,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
237,058003,Municipal,P058,Flores,Fundo Previdenciário do Município de Flores,FUNPREF,Ativa,05699773000121,Poder Executivo,PE,Vinculada,Fundo Público
1087,058004,Municipal,P058,Flores,Fundo Municipal de Saúde de Flores,,Ativa,10392023000142,Poder Executivo,PE,Vinculada,Fundo Público
1518,058005,Municipal,P058,Flores,Fundo Municipal de Assistência Social de Flores - Pe,FMAS,Ativa,14041035000183,Poder Executivo,PE,Vinculada,Fundo Público
1593,058006,Municipal,P058,Flores,Fundo Municipal de Assistência Social de Flores,FMASF,Ativa,14041035000183,Poder Executivo,PE,Vinculada,Fundo Público
1598,059007,Municipal,P059,Floresta,Consórcio de Municípios do Sertão de Itaparica e Moxotó,COMSIM,Ativa,19019448000185,Poder Executivo,PE,Não Vinculada,Consórcio
1202,059005,Municipal,P059,Floresta,Fundo Municipal de Defesa dos Direitos da Criança e do Adolescente de Floresta,FUNDECAF,Ativa,08246463000140,Poder Executivo,PE,Vinculada,Fundo Público
1203,059006,Municipal,P059,Floresta,Fundo Municipal de Assistência Social de Floresta,FMASF,Ativa,14785442000103,Poder Executivo,PE,Vinculada,Fundo Público
1089,059004,Municipal,P059,Floresta,Fundo Municipal de Saúde de Floresta,FMSF,Ativa,10965708000130,Poder Executivo,PE,Vinculada,Fundo Público
238,059001,Municipal,P059,Floresta,Prefeitura Municipal de Floresta,PMF,Ativa,10113736000120,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
239,059002,Municipal,P059,Floresta,Câmara Municipal de Floresta,CMF,Ativa,35446079000163,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
240,059003,Municipal,P059,Floresta,Fundo de Previdência dos Servidores Públicos de Floresta,FLORESTA PREV,Ativa,07747015000167,Poder Executivo,PE,Vinculada,Fundo Público
241,060001,Municipal,P060,Frei Miguelinho,Prefeitura Municipal de Frei Miguelinho,PMFM,Ativa,11361854000110,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
242,060002,Municipal,P060,Frei Miguelinho,Câmara Municipal de Frei Miguelinho,CMFM,Ativa,11474269000126,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
1091,060003,Municipal,P060,Frei Miguelinho,Fundo Municipal de Saúde de Frei Miguelinho,FMSFM,Ativa,13811409000130,Poder Executivo,PE,Vinculada,Fundo Público
1635,060004,Municipal,P060,Frei Miguelinho,Fundo Municipal de Assistência Social de Frei Miguelinho,FMASFM,Ativa,18562805000194,Poder Executivo,PE,Vinculada,Fundo Público
1375,061006,Municipal,P061,Gameleira,Fundo Municipal de Assistencia Social - Gameleira,F.M.A.S - GAMELEIRA,Ativa,01876387000107,Poder Executivo,PE,Vinculada,Fundo Público
243,061001,Municipal,P061,Gameleira,Prefeitura Municipal da Gameleira,PMG,Ativa,11343902000147,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
244,061002,Municipal,P061,Gameleira,Câmara Municipal de Gameleira,CMG,Ativa,11529765000130,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
245,061003,Municipal,P061,Gameleira,Serviço Autônomo de Água e Esgoto de Gameleira,SAAEG,Ativa,10225860000187,Poder Executivo,PE,Não Vinculada,Autarquia
246,061004,Municipal,P061,Gameleira,Fundo Municipal de Saúde da Gameleira,FMS,Ativa,11334929000173,Poder Executivo,PE,Vinculada,Fundo Público
247,062001,Municipal,P062,Garanhuns,Prefeitura Municipal de Garanhuns,PMG,Ativa,11303906000100,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
248,062002,Municipal,P062,Garanhuns,Câmara Municipal de Garanhuns,CMG,Ativa,11478534000144,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
249,062003,Municipal,P062,Garanhuns,Instituto de Previdência dos Servidores Públicos do Município de Garanhuns,IPSG,Ativa,04664996000190,Poder Executivo,PE,Não Vinculada,Autarquia
250,062004,Municipal,P062,Garanhuns,Autarquia de Ensino Superior de Garanhuns,AESGA,Ativa,11224920000100,Poder Executivo,PE,Não Vinculada,Autarquia
1436,062009,Municipal,P062,Garanhuns,Fundo Municipal do Meio Ambiente Garanhuns,FMMA,Ativa,10216204000118,Poder Executivo,PE,Vinculada,Fundo Público
1429,062007,Municipal,P062,Garanhuns,Fundo Municipal dos Direitos da Criança e do Adolescente de Garanhuns,FMDCA,Ativa,01410340000153,Poder Executivo,PE,Vinculada,Fundo Público
1430,062008,Municipal,P062,Garanhuns,Fundo Municipal da Assistência Social Garanhuns,FMAS,Ativa,10782874000100,Poder Executivo,PE,Vinculada,Fundo Público
1291,062006,Municipal,P062,Garanhuns,"Autarquia Municipal de Segurança, Trânsito e Transporte de Garanhuns",AMSTT,Ativa,10742298000169,Poder Executivo,PE,Não Vinculada,Autarquia
1078,062005,Municipal,P062,Garanhuns,Fundo Municipal de Saúde de Garanhuns,,Ativa,09342856000110,Poder Executivo,PE,Vinculada,Fundo Público
827,999051,Estadual,P062,Garanhuns,Faculdade de Formação de Professores de Garanhuns,FFPG,Ativa,11022597000787,Poder Executivo,PE,Vinculada,Integrante da Administração Indireta
1597,062010,Municipal,P062,Garanhuns,Consórcio para o Desenvolvimento da Região Meridional de Pernambuco,CODEAM,Ativa,11274563000194,Poder Executivo,PE,Não Vinculada,Consórcio
1345,063003,Municipal,P063,Glória do Goitá,Fundo Municipal de Saúde de Glória do Goitá,FMS,Ativa,11393101000196,Poder Executivo,PE,Vinculada,Fundo Público
1530,063004,Municipal,P063,Glória do Goitá,Fundo Municipal de Assistência Social de Glória do Goitá,FMAS,Ativa,18225703000183,Poder Executivo,PE,Vinculada,Fundo Público
1531,063005,Municipal,P063,Glória do Goitá,Fundo Municipal de Defesa dos Direitos da Criança e do Adolescente de Glória do Goitá,FDC,Ativa,09638702000170,Poder Executivo,PE,Vinculada,Fundo Público
251,063001,Municipal,P063,Glória do Goitá,Prefeitura Municipal de Glória do Goitá,PM,Ativa,11049814000137,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
252,063002,Municipal,P063,Glória do Goitá,Câmara Municipal de Glória do Goitá,CM,Ativa,08140030000105,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
253,064001,Municipal,P064,Goiana,Prefeitura Municipal de Goiana,PMG,Ativa,10150043000107,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
254,064002,Municipal,P064,Goiana,Câmara Municipal de Goiana,,Ativa,11408655000110,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
255,064003,Municipal,P064,Goiana,Instituto de Previdência Social do Município de Goiana,GOIANAPREV,Ativa,07017355000132,Poder Executivo,PE,Não Vinculada,Autarquia
256,064004,Municipal,P064,Goiana,Autarquia Municipal do Ensino Superior de Goiana,AMESG,Ativa,11408812000197,Poder Executivo,PE,Não Vinculada,Autarquia
1386,064006,Municipal,P064,Goiana,Fundo Municipal dos Direitos da Criança e do Adolescente Goiana,FUNDECA,Ativa,03609143000193,Poder Executivo,PE,Vinculada,Fundo Público
1387,064007,Municipal,P064,Goiana,Agência Municipal de Desenvolvimento de Goiana,AD GOIANA,Ativa,14599272000164,Poder Executivo,PE,Vinculada,Autarquia
1388,064008,Municipal,P064,Goiana,Fundo Municipal de Assistência Social Goiana,FMAS - GOIANA,Ativa,12003354000179,Poder Executivo,PE,Vinculada,Fundo Público
1161,064005,Municipal,P064,Goiana,Fundo Municipal de Saúde do Município de Goiana,FMSMG,Ativa,10545001000175,Poder Executivo,PE,Vinculada,Fundo Público
1125,065004,Municipal,P065,Granito,Fundo Municipal de Saúde de Granito,FMSG,Ativa,11460739000100,Poder Executivo,PE,Vinculada,Fundo Público
257,065001,Municipal,P065,Granito,Prefeitura Municipal de Granito,PMG,Ativa,11040888000102,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
258,065002,Municipal,P065,Granito,Câmara Municipal de Granito,CMG,Ativa,11474954000152,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
259,065003,Municipal,P065,Granito,Fundo Previdenciário do Município de Granito,FUNPREG,Ativa,05639801000115,Poder Executivo,PE,Vinculada,Fundo Público
1537,065006,Municipal,P065,Granito,Fundo Municipal de Assistência Social de Granito,FMASG,Ativa,15636363000195,Poder Executivo,PE,Vinculada,Fundo Público
260,066001,Municipal,P066,Gravatá,Prefeitura Municipal de Gravatá,PMG,Ativa,11049830000120,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
261,066002,Municipal,P066,Gravatá,Câmara Municipal de Gravatá,,Ativa,08140071000100,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
262,066003,Municipal,P066,Gravatá,Instituto de Previdência do Município de Gravatá,IPSEG,Ativa,07183448000137,Poder Executivo,PE,Não Vinculada,Autarquia
263,066004,Municipal,P066,Gravatá,Fundo Municipal de Saúde de Gravatá,FMS,Ativa,10710822000110,Poder Executivo,PE,Vinculada,Fundo Público
264,066005,Municipal,P066,Gravatá,Fundo Municipal de Assistência Social de Gravatá,FMAS,Ativa,11331244000173,Poder Executivo,PE,Vinculada,Fundo Público
1201,066006,Municipal,P066,Gravatá,Fundo Municipal de Direitos da Criança e Adolescente de Gravatá,FUNDECA,Ativa,04857703000191,Poder Executivo,PE,Vinculada,Fundo Público
1502,067005,Municipal,P067,Iati,Fundo Municipal de Assistência Social de Iati,F.M.A.S.I.,Ativa,12051569000165,Poder Executivo,PE,Vinculada,Fundo Público
265,067001,Municipal,P067,Iati,Prefeitura Municipal de Iati,PMI,Ativa,11286374000131,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
266,067002,Municipal,P067,Iati,Câmara Municipal de Iati,CMI,Ativa,11240009000196,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
267,067003,Municipal,P067,Iati,Instituto de Previdencia do Município de Iati,IPREVI,Ativa,05766861000107,Poder Executivo,PE,Não Vinculada,Autarquia
268,067004,Municipal,P067,Iati,Fundo Municipal de Saúde de Iati,F.M.S.I.,Ativa,11209728000144,Poder Executivo,PE,Vinculada,Fundo Público
269,068001,Municipal,P068,Ibimirim,Prefeitura Municipal de Ibimirim,PMI,Ativa,10105971000150,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
270,068002,Municipal,P068,Ibimirim,Câmara Municipal de Ibimirim,CMI,Ativa,01716564000198,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
271,068003,Municipal,P068,Ibimirim,Instituto de Previdência dos Servidores Municipais de Ibimirim,IBIPREV,Ativa,05259440000181,Poder Executivo,PE,Não Vinculada,Autarquia
272,068004,Municipal,P068,Ibimirim,Fundo Municipal de Saúde de Ibimirim,,Ativa,10427619000130,Poder Executivo,PE,Vinculada,Fundo Público
273,068005,Municipal,P068,Ibimirim,Fundo Previdenciário do Município de Ibimirim,FUNPREIB,Extinta - Desativada,03191874000161,Poder Executivo,PE,Vinculada,Fundo Público (antigo)
1198,068006,Municipal,P068,Ibimirim,Fundo Municipal de Desenvolvimento da Educação de Ibimirim,FMDEI,Ativa,11156248000162,Poder Executivo,PE,Vinculada,Fundo Público
1199,068007,Municipal,P068,Ibimirim,Fundo Municipal de Direitos da Criança e Adolescentes de Ibimirim,FUNDECAI,Ativa,04472435000190,Poder Executivo,PE,Vinculada,Fundo Público
1200,068008,Municipal,P068,Ibimirim,Fundo Municipal de Assistência Social de Ibimirim,FMASI,Ativa,13900848000119,Poder Executivo,PE,Vinculada,Fundo Público
1520,069005,Municipal,P069,Ibirajuba,Fundo Municipal de Assistencia Social de Ibirajuba,FMAS,Ativa,13635890000150,Poder Executivo,PE,Vinculada,Fundo Público
274,069001,Municipal,P069,Ibirajuba,Prefeitura Municipal de Ibirajuba,PMI,Ativa,11256062000185,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
275,069002,Municipal,P069,Ibirajuba,Câmara Municipal de Ibirajuba,,Ativa,08861866000107,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
276,069003,Municipal,P069,Ibirajuba,Fundo Municipal de Saúde de Ibirajuba,FMS,Ativa,11415374000194,Poder Executivo,PE,Vinculada,Fundo Público
277,069004,Municipal,P069,Ibirajuba,Fundo Previdenciário do Município de Ibirajuba,FUNPREIBI,Ativa,05377687000100,Poder Executivo,PE,Vinculada,Fundo Público
278,070001,Municipal,P070,Igarassu,Prefeitura Municipal de Igarassu,PMIg,Ativa,10359560000190,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
279,070002,Municipal,P070,Igarassu,Câmara Municipal de Igarassu,cmi,Ativa,11451887000150,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
280,070003,Municipal,P070,Igarassu,Empresa de Urbanização de Igarassu,URBI,Ativa,11481496000189,Poder Executivo,PE,Não Vinculada,Empresa Pública
281,070004,Municipal,P070,Igarassu,Fundação de Preservação Cultural de Igarassu,FUNDERCI,Extinta - Desativada,08800591000193,Poder Executivo,PE,Não Vinculada,Fundação Pública
282,070005,Municipal,P070,Igarassu,Instituto de Previdência do Município de Igarassu,IGAPREV,Ativa,06234755000137,Poder Executivo,PE,Não Vinculada,Autarquia
1102,070006,Municipal,P070,Igarassu,Fundo Municipal de Saúde de Igarassu,FMS,Ativa,12025214000100,Poder Executivo,PE,Vinculada,Fundo Público
1156,071004,Municipal,P071,Iguaracy,Fundo Municipal de Saúde Iguaracy,FUNDO DE SAUDE,Ativa,11402235000126,Poder Executivo,PE,Vinculada,Fundo Público
1384,071005,Municipal,P071,Iguaracy,Fundo Municipal de Assistência Social Iguaracy,FMAS,Ativa,12060234000103,Poder Executivo,PE,Vinculada,Fundo Público
283,071001,Municipal,P071,Iguaracy,Prefeitura Municipal de Iguaracy,PMI,Ativa,11368966000100,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
284,071002,Municipal,P071,Iguaracy,Câmara Municipal de Iguaracy,CMI,Ativa,11464385000164,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
285,071003,Municipal,P071,Iguaracy,Fundo Previdenciário do Município de Iguaracy,FUNPREVI,Ativa,05480417000112,Poder Executivo,PE,Vinculada,Fundo Público
286,072001,Municipal,P072,Inajá,Prefeitura Municipal de Inajá,PMI,Ativa,10106219000123,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
287,072002,Municipal,P072,Inajá,Câmara Municipal de Inajá,CMI,Ativa,11463478000174,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
288,072003,Municipal,P072,Inajá,Autarquia Previdenciária do Município de Inajá,INAJAPREV,Extinta - Desativada,07737237000107,Poder Executivo,PE,Não Vinculada,Autarquia
289,072004,Municipal,P072,Inajá,Fundo Municipal de Saúde de Inajá,FMS,Ativa,09457349000121,Poder Executivo,PE,Vinculada,Fundo Público
290,072005,Municipal,P072,Inajá,Fundo de Previdência Social do Município de Inajá,INAJAPREV,Ativa,07737237000107,Poder Executivo,PE,Vinculada,Fundo Público
1486,072006,Municipal,P072,Inajá,Fundo Municipal de Ação Social de Inajá,FMAS,Ativa,12800142000112,Poder Executivo,PE,Vinculada,Fundo Público
1338,073004,Municipal,P073,Ingazeira,Fundo Municipal de Saúde Ingazeira,,Ativa,10347888000197,Poder Executivo,PE,Vinculada,Fundo Público
1135,073003,Municipal,P073,Ingazeira,Instituto de Previdência Municipal da Ingazeira,IPREIN,Ativa,09493399000164,Poder Executivo,PE,Vinculada,Autarquia
291,073001,Municipal,P073,Ingazeira,Prefeitura Municipal de Ingazeira,,Ativa,10347888000197,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
292,073002,Municipal,P073,Ingazeira,Câmara Municipal de Ingazeira,CMI,Ativa,11476207000153,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
1629,073005,Municipal,P073,Ingazeira,Fundo Municipal de Assistência Social de Ingazeira,FMAS,Ativa,18188762000129,Poder Executivo,PE,Vinculada,Fundo Público
1624,074008,Municipal,P074,Ipojuca,Autarquia Previdenciária do Município do Ipojuca,IpojucaPrev,Ativa,22236946000194,Poder Executivo,PE,Não Vinculada,Autarquia
1652,074009,Municipal,P074,Ipojuca,Fundo Municipal de Assistência Social de Ipojuca,FMAS,Ativa,15277172000184,Poder Executivo,PE,Vinculada,Fundo Público
1604,074007,Municipal,P074,Ipojuca,Autarquia Municipal de Trânsito e Transportes de Ipojuca,AMTTRANS,Ativa,20540062000101,Poder Executivo,PE,Não Vinculada,Autarquia
293,074001,Municipal,P074,Ipojuca,Prefeitura Municipal de Ipojuca,PMI,Ativa,11294386000108,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
294,074002,Municipal,P074,Ipojuca,Câmara Municipal de Ipojuca,CM,Ativa,08907347000124,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
295,074003,Municipal,P074,Ipojuca,Fundo Previdenciário dos Servidores do Município de Ipojuca,FUNPREI,Ativa,05364629000134,Poder Executivo,PE,Não Vinculada,Fundo Público
1159,074004,Municipal,P074,Ipojuca,Agência de Desenvolvimento Econômico de Ipojuca,AD. IPOJUCA,Ativa,11063604000101,Poder Executivo,PE,Vinculada,Empresa Pública
1041,999265,Estadual,P074,Ipojuca,Suape - Complexo Industrial Portuário Governador Eraldo Gueiros,SUAPE,Ativa,11448933000162,Poder Executivo,PE,Vinculada,Empresa Pública
1280,074005,Municipal,P074,Ipojuca,Fundo Municipal de Saúde de Ipojuca,FMS,Ativa,11248285000109,Poder Executivo,PE,Vinculada,Fundo Público
1383,074006,Municipal,P074,Ipojuca,Fundo Municipal de Defesa dos Direitos da Criança e do Adolescente do Ipojuca,FUMDECA,Ativa,08491810000108,Poder Executivo,PE,Vinculada,Fundo Público
1310,075005,Municipal,P075,Ipubi,Fundo Municipal de Assistência Social Ipubi,FMAS,Ativa,12056043000178,Poder Executivo,PE,Vinculada,Fundo Público
1311,075006,Municipal,P075,Ipubi,Fundo Municipal de Saúde de Ipubi,FMS - IPUBI,Ativa,11391568000105,Poder Executivo,PE,Vinculada,Fundo Público
296,075001,Municipal,P075,Ipubi,Prefeitura Municipal de Ipubi,PMI,Ativa,11040896000159,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
297,075002,Municipal,P075,Ipubi,Câmara Municipal de Ipubi,CMI,Ativa,35449289000105,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
298,075003,Municipal,P075,Ipubi,Instituto de Previdência dos Servidores Públicos do Município de Ipubi,IPUBIPREV,Ativa,08071509000137,Poder Executivo,PE,Não Vinculada,Autarquia
299,075004,Municipal,P075,Ipubi,Fundo de Previdência Social do Município de Ipubi,FPS,Extinta - Desativada,99999999999962,Poder Executivo,PE,Vinculada,Fundo Público (antigo)
300,076001,Municipal,P076,Itacuruba,Prefeitura Municipal de Itacuruba,PMI,Ativa,10114502000105,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
301,076002,Municipal,P076,Itacuruba,Câmara Municipal de Itacuruba,CMI,Ativa,35446293000110,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
1304,076003,Municipal,P076,Itacuruba,Instituto de Previdência dos Servidores de Itacuruba,ITACURUBA PREV,Ativa,12127391000199,Poder Executivo,PE,Não Vinculada,Autarquia
1460,076004,Municipal,P076,Itacuruba,Fundo Municipal de Saúde Itacuruba,FMS,Ativa,11873674000117,Poder Executivo,PE,Vinculada,Fundo Público
1461,076005,Municipal,P076,Itacuruba,Fundo Municipal de Assistência Social Itacuruba,FMAS,Ativa,15408640000102,Poder Executivo,PE,Vinculada,Fundo Público
1465,076006,Municipal,P076,Itacuruba,"Fundo Municipal de Investimentos Em Infraestrutura Urbana e Rural, Educação, Meio Ambiente, Sustentabilidade, Segurança e Desenvolvimento Social Itacuruba",FMI DE ITACURUBA,Ativa,18011984000171,Poder Executivo,PE,Vinculada,Fundo Público
1361,077005,Municipal,P077,Itaíba,Fundo Municipal de Assistência Social Itaíba,FMAS,Ativa,14751753000143,Poder Executivo,PE,Vinculada,Fundo Público
302,077001,Municipal,P077,Itaíba,Prefeitura Municipal de Itaíba,,Ativa,11286382000188,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
303,077002,Municipal,P077,Itaíba,Câmara Municipal de Itaíba,,Ativa,24300246000147,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
304,077003,Municipal,P077,Itaíba,Instituto de Previdência do Município de Itaíba,IPREVI,Ativa,07177308000156,Poder Executivo,PE,Não Vinculada,Autarquia
305,077004,Municipal,P077,Itaíba,Fundo Municipal de Saúde de Itaíba,FMS,Ativa,11826158000131,Poder Executivo,PE,Vinculada,Fundo Público
306,078001,Municipal,P078,Ilha de Itamaracá,Prefeitura Municipal de Ilha de Itamaracá,PMII,Ativa,09680315000100,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
307,078002,Municipal,P078,Ilha de Itamaracá,Câmara Municipal da Ilha de Itamaracá,CMII,Ativa,11547775000106,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
308,078003,Municipal,P078,Ilha de Itamaracá,Instituto de Previdência Social No Município da Ilha de Itamaracá/pe - Itamaracaprev,ITAMARACAPREV,Ativa,05736752000139,Poder Executivo,PE,Não Vinculada,Autarquia
1268,078004,Municipal,P078,Ilha de Itamaracá,Fundo Municipal de Saúde da Ilha de Itamaracá,,Ativa,13101674000124,Poder Executivo,PE,Vinculada,Fundo Público
1042,999266,Estadual,P078,Ilha de Itamaracá,Penitenciaria Agrícola de Itamaracá,,Extinta - Desativada,99999999999962,Poder Executivo,PE,Vinculada,Órgão Autônomo
1043,999267,Estadual,P078,Ilha de Itamaracá,Fundo de Produção Penitenciária,FPP,Ativa,08157928000196,Poder Executivo,PE,Vinculada,Fundo Público
1154,079003,Municipal,P079,Itambé,Fundo Municipal de Saúde de Itambé,FMS,Ativa,10417698000107,Poder Executivo,PE,Vinculada,Fundo Público
1170,079004,Municipal,P079,Itambé,Instituto de Previdência do Município do Itambé,ITAMBEPREV,Ativa,09595420000132,Poder Executivo,PE,Não Vinculada,Autarquia
309,079001,Municipal,P079,Itambé,Prefeitura Municipal de Itambé,PMI,Ativa,10150050000109,Poder Executivo,PE,Não Vinculada,Prefeitura Municipal
310,079002,Municipal,P079,Itambé,Câmara Municipal de Itambé,CMI,Ativa,11489986000121,Poder Legislativo,PE,Não Vinculada,Câmara Municipal
